"country","date","cases"
"Germany","2020-06-22",496
"Germany","2020-06-23",712
"Germany","2020-06-24",391
"Germany","2020-06-25",500
"Germany","2020-06-26",665
"Germany","2020-06-27",422
"Germany","2020-06-28",235
"Germany","2020-06-29",349
"Germany","2020-06-30",376
"Germany","2020-07-01",475
"Germany","2020-07-02",477
"Germany","2020-07-03",410
"Germany","2020-07-04",418
"Germany","2020-07-05",325
"Germany","2020-07-06",541
"Germany","2020-07-07",279
"Germany","2020-07-08",356
"Germany","2020-07-09",302
"Germany","2020-07-10",331
"Germany","2020-07-11",377
"Germany","2020-07-12",210
"Germany","2020-07-13",261
"Germany","2020-07-14",276
"Germany","2020-07-15",434
"Germany","2020-07-16",560
"Germany","2020-07-17",595
"Germany","2020-07-18",381
"Germany","2020-07-19",309
"Germany","2020-07-20",590
"Germany","2020-07-21",392
"Germany","2020-07-22",559
"Germany","2020-07-23",605
"Italy","2020-01-22",0
"Italy","2020-01-23",0
"Italy","2020-01-24",0
"Italy","2020-01-25",0
"Italy","2020-01-26",0
"Italy","2020-01-27",0
"Italy","2020-01-28",0
"Italy","2020-01-29",0
"Italy","2020-01-30",0
"Italy","2020-01-31",2
"Italy","2020-02-01",0
"Italy","2020-02-02",0
"Italy","2020-02-03",0
"Italy","2020-02-04",0
"Italy","2020-02-05",0
"Italy","2020-02-06",0
"Italy","2020-02-07",1
"Italy","2020-02-08",0
"Italy","2020-02-09",0
"Italy","2020-02-10",0
"Italy","2020-02-11",0
"Italy","2020-02-12",0
"Italy","2020-02-13",0
"Italy","2020-02-14",0
"Italy","2020-02-15",0
"Italy","2020-02-16",0
"Italy","2020-02-17",0
"Italy","2020-02-18",0
"Italy","2020-02-19",0
"Italy","2020-02-20",0
"Italy","2020-02-21",17
"Italy","2020-02-22",42
"Italy","2020-02-23",93
"Italy","2020-02-24",74
"Italy","2020-02-25",93
"Italy","2020-02-26",131
"Italy","2020-02-27",202
"Italy","2020-02-28",233
"Italy","2020-02-29",240
"Italy","2020-03-01",566
"Italy","2020-03-02",342
"Italy","2020-03-03",466
"Italy","2020-03-04",587
"Italy","2020-03-05",769
"Italy","2020-03-06",778
"Italy","2020-03-07",1247
"Italy","2020-03-08",1492
"Italy","2020-03-09",1797
"Italy","2020-03-10",977
"Italy","2020-03-11",2313
"Italy","2020-03-12",2651
"Italy","2020-03-13",2547
"Italy","2020-03-14",3497
"Italy","2020-03-15",3590
"Italy","2020-03-16",3233
"Italy","2020-03-17",3526
"Italy","2020-03-18",4207
"Italy","2020-03-19",5322
"Italy","2020-03-20",5986
"Italy","2020-03-21",6557
"Italy","2020-03-22",5560
"Italy","2020-03-23",4789
"Italy","2020-03-24",5249
"Italy","2020-03-25",5210
"Italy","2020-03-26",6203
"Italy","2020-03-27",5909
"Italy","2020-03-28",5974
"Italy","2020-03-29",5217
"Italy","2020-03-30",4050
"Italy","2020-03-31",4053
"Italy","2020-04-01",4782
"Italy","2020-04-02",4668
"Italy","2020-04-03",4585
"Italy","2020-04-04",4805
"Italy","2020-04-05",4316
"Italy","2020-04-06",3599
"Italy","2020-04-07",3039
"Italy","2020-04-08",3836
"Italy","2020-04-09",4204
"Italy","2020-04-10",3951
"Italy","2020-04-11",4694
"Italy","2020-04-12",4092
"Italy","2020-04-13",3153
"Italy","2020-04-14",2972
"Italy","2020-04-15",2667
"Italy","2020-04-16",3786
"Italy","2020-04-17",3493
"Italy","2020-04-18",3491
"Italy","2020-04-19",3047
"Italy","2020-04-20",2256
"Italy","2020-04-21",2729
"Italy","2020-04-22",3370
"Italy","2020-04-23",2646
"Italy","2020-04-24",3021
"Italy","2020-04-25",2357
"Italy","2020-04-26",2324
"Italy","2020-04-27",1739
"Italy","2020-04-28",2091
"Italy","2020-04-29",2086
"Italy","2020-04-30",1872
"Italy","2020-05-01",1965
"Italy","2020-05-02",1900
"Italy","2020-05-03",1389
"Italy","2020-05-04",1221
"Italy","2020-05-05",1075
"Italy","2020-05-06",1444
"Italy","2020-05-07",1401
"Italy","2020-05-08",1327
"Italy","2020-05-09",1083
"Italy","2020-05-10",802
"Italy","2020-05-11",744
"Italy","2020-05-12",1402
"Italy","2020-05-13",888
"Italy","2020-05-14",992
"Italy","2020-05-15",789
"Italy","2020-05-16",875
"Italy","2020-05-17",675
"Italy","2020-05-18",451
"Italy","2020-05-19",813
"Italy","2020-05-20",665
"Italy","2020-05-21",642
"Italy","2020-05-22",652
"Italy","2020-05-23",669
"Italy","2020-05-24",531
"Italy","2020-05-25",300
"Italy","2020-05-26",397
"Italy","2020-05-27",584
"Italy","2020-05-28",593
"Italy","2020-05-29",516
"Italy","2020-05-30",416
"Italy","2020-05-31",333
"Italy","2020-06-01",200
"Italy","2020-06-02",318
"Italy","2020-06-03",321
"Italy","2020-06-04",177
"Italy","2020-06-05",518
"Italy","2020-06-06",270
"Italy","2020-06-07",197
"Italy","2020-06-08",280
"Italy","2020-06-09",283
"Italy","2020-06-10",202
"Italy","2020-06-11",379
"Italy","2020-06-12",163
"Italy","2020-06-13",346
"Italy","2020-06-14",338
"Italy","2020-06-15",301
"Italy","2020-06-16",210
"Italy","2020-06-17",328
"Italy","2020-06-18",331
"Italy","2020-06-19",-148
"Italy","2020-06-20",264
"Italy","2020-06-21",224
"Italy","2020-06-22",221
"Italy","2020-06-23",113
"Italy","2020-06-24",577
"Italy","2020-06-25",296
"Italy","2020-06-26",255
"Italy","2020-06-27",175
"Italy","2020-06-28",174
"Italy","2020-06-29",126
"Italy","2020-06-30",142
"Italy","2020-07-01",182
"Italy","2020-07-02",201
"Italy","2020-07-03",223
"Italy","2020-07-04",235
"Italy","2020-07-05",192
"Italy","2020-07-06",208
"Italy","2020-07-07",137
"Italy","2020-07-08",193
"Italy","2020-07-09",214
"Italy","2020-07-10",276
"Italy","2020-07-11",188
"Italy","2020-07-12",234
"Italy","2020-07-13",169
"Italy","2020-07-14",114
"Italy","2020-07-15",162
"Italy","2020-07-16",230
"Italy","2020-07-17",231
"Italy","2020-07-18",249
"Italy","2020-07-19",218
"Italy","2020-07-20",190
"Italy","2020-07-21",128
"Italy","2020-07-22",280
"Italy","2020-07-23",306
"Spain","2020-01-22",0
"Spain","2020-01-23",0
"Spain","2020-01-24",0
"Spain","2020-01-25",0
"Spain","2020-01-26",0
"Spain","2020-01-27",0
"Spain","2020-01-28",0
"Spain","2020-01-29",0
"Spain","2020-01-30",0
"Spain","2020-01-31",0
"Spain","2020-02-01",1
"Spain","2020-02-02",0
"Spain","2020-02-03",0
"Spain","2020-02-04",0
"Spain","2020-02-05",0
"Spain","2020-02-06",0
"Spain","2020-02-07",0
"Spain","2020-02-08",0
"Spain","2020-02-09",1
"Spain","2020-02-10",0
"Spain","2020-02-11",0
"Spain","2020-02-12",0
"Spain","2020-02-13",0
"Spain","2020-02-14",0
"Spain","2020-02-15",0
"Spain","2020-02-16",0
"Spain","2020-02-17",0
"Spain","2020-02-18",0
"Spain","2020-02-19",0
"Spain","2020-02-20",0
"Spain","2020-02-21",0
"Spain","2020-02-22",0
"Spain","2020-02-23",0
"Spain","2020-02-24",0
"Spain","2020-02-25",4
"Spain","2020-02-26",7
"Spain","2020-02-27",2
"Spain","2020-02-28",17
"Spain","2020-02-29",13
"Spain","2020-03-01",39
"Spain","2020-03-02",36
"Spain","2020-03-03",45
"Spain","2020-03-04",57
"Spain","2020-03-05",37
"Spain","2020-03-06",141
"Spain","2020-03-07",100
"Spain","2020-03-08",173
"Spain","2020-03-09",400
"Spain","2020-03-10",622
"Spain","2020-03-11",582
"Spain","2020-03-12",0
"Spain","2020-03-13",2955
"Spain","2020-03-14",1159
"Spain","2020-03-15",1407
"Spain","2020-03-16",2144
"Spain","2020-03-17",1806
"Spain","2020-03-18",2162
"Spain","2020-03-19",4053
"Spain","2020-03-20",2447
"Spain","2020-03-21",4964
"Spain","2020-03-22",3394
"Spain","2020-03-23",6368
"Spain","2020-03-24",4749
"Spain","2020-03-25",9630
"Spain","2020-03-26",8271
"Spain","2020-03-27",7933
"Spain","2020-03-28",7516
"Spain","2020-03-29",6875
"Spain","2020-03-30",7846
"Spain","2020-03-31",7967
"Spain","2020-04-01",8195
"Spain","2020-04-02",7947
"Spain","2020-04-03",7134
"Spain","2020-04-04",6969
"Spain","2020-04-05",5478
"Spain","2020-04-06",5029
"Spain","2020-04-07",5267
"Spain","2020-04-08",6278
"Spain","2020-04-09",5002
"Spain","2020-04-10",5051
"Spain","2020-04-11",4754
"Spain","2020-04-12",3804
"Spain","2020-04-13",3268
"Spain","2020-04-14",2442
"Spain","2020-04-15",5103
"Spain","2020-04-16",7304
"Spain","2020-04-17",5891
"Spain","2020-04-18",887
"Spain","2020-04-19",6948
"Spain","2020-04-20",1536
"Spain","2020-04-21",3968
"Spain","2020-04-22",4211
"Spain","2020-04-23",4635
"Spain","2020-04-24",-10034
"Spain","2020-04-25",2915
"Spain","2020-04-26",1729
"Spain","2020-04-27",1831
"Spain","2020-04-28",1308
"Spain","2020-04-29",2144
"Spain","2020-04-30",518
"Spain","2020-05-01",1781
"Spain","2020-05-02",1366
"Spain","2020-05-03",884
"Spain","2020-05-04",545
"Spain","2020-05-05",1318
"Spain","2020-05-06",996
"Spain","2020-05-07",1122
"Spain","2020-05-08",1410
"Spain","2020-05-09",721
"Spain","2020-05-10",772
"Spain","2020-05-11",3086
"Spain","2020-05-12",594
"Spain","2020-05-13",661
"Spain","2020-05-14",849
"Spain","2020-05-15",643
"Spain","2020-05-16",515
"Spain","2020-05-17",0
"Spain","2020-05-18",908
"Spain","2020-05-19",431
"Spain","2020-05-20",518
"Spain","2020-05-21",482
"Spain","2020-05-22",1787
"Spain","2020-05-23",466
"Spain","2020-05-24",482
"Spain","2020-05-25",-372
"Spain","2020-05-26",859
"Spain","2020-05-27",0
"Spain","2020-05-28",1647
"Spain","2020-05-29",658
"Spain","2020-05-30",664
"Spain","2020-05-31",251
"Spain","2020-06-01",159
"Spain","2020-06-02",294
"Spain","2020-06-03",394
"Spain","2020-06-04",334
"Spain","2020-06-05",318
"Spain","2020-06-06",332
"Spain","2020-06-07",240
"Spain","2020-06-08",167
"Spain","2020-06-09",249
"Spain","2020-06-10",314
"Spain","2020-06-11",427
"Spain","2020-06-12",502
"Spain","2020-06-13",396
"Spain","2020-06-14",323
"Spain","2020-06-15",181
"Spain","2020-06-16",219
"Spain","2020-06-17",355
"Spain","2020-06-18",585
"Spain","2020-06-19",307
"Spain","2020-06-20",363
"Spain","2020-06-21",334
"Spain","2020-06-22",232
"Spain","2020-06-23",248
"Spain","2020-06-24",334
"Spain","2020-06-25",400
"Spain","2020-06-26",419
"Spain","2020-06-27",564
"Spain","2020-06-28",301
"Spain","2020-06-29",200
"Spain","2020-06-30",301
"Spain","2020-07-01",388
"Spain","2020-07-02",444
"Spain","2020-07-03",442
"Spain","2020-07-04",0
"Spain","2020-07-05",0
"Spain","2020-07-06",1244
"Spain","2020-07-07",341
"Spain","2020-07-08",383
"Spain","2020-07-09",543
"Spain","2020-07-10",852
"Spain","2020-07-11",0
"Spain","2020-07-12",0
"Spain","2020-07-13",2045
"Spain","2020-07-14",666
"Spain","2020-07-15",875
"Spain","2020-07-16",1361
"Spain","2020-07-17",1400
"Spain","2020-07-18",0
"Spain","2020-07-19",0
"Spain","2020-07-20",4581
"Spain","2020-07-21",1358
"Spain","2020-07-22",1357
"Spain","2020-07-23",2615
"Switzerland","2020-01-22",0
"Switzerland","2020-01-23",0
"Switzerland","2020-01-24",0
"Switzerland","2020-01-25",0
"Switzerland","2020-01-26",0
"Switzerland","2020-01-27",0
"Switzerland","2020-01-28",0
"Switzerland","2020-01-29",0
"Switzerland","2020-01-30",0
"Switzerland","2020-01-31",0
"Switzerland","2020-02-01",0
"Switzerland","2020-02-02",0
"Switzerland","2020-02-03",0
"Switzerland","2020-02-04",0
"Switzerland","2020-02-05",0
"Switzerland","2020-02-06",0
"Switzerland","2020-02-07",0
"Switzerland","2020-02-08",0
"Switzerland","2020-02-09",0
"Switzerland","2020-02-10",0
"Switzerland","2020-02-11",0
"Switzerland","2020-02-12",0
"Switzerland","2020-02-13",0
"Switzerland","2020-02-14",0
"Switzerland","2020-02-15",0
"Switzerland","2020-02-16",0
"Switzerland","2020-02-17",0
"Switzerland","2020-02-18",0
"Switzerland","2020-02-19",0
"Switzerland","2020-02-20",0
"Switzerland","2020-02-21",0
"Switzerland","2020-02-22",0
"Switzerland","2020-02-23",0
"Switzerland","2020-02-24",0
"Switzerland","2020-02-25",1
"Switzerland","2020-02-26",0
"Switzerland","2020-02-27",7
"Switzerland","2020-02-28",0
"Switzerland","2020-02-29",10
"Switzerland","2020-03-01",9
"Switzerland","2020-03-02",15
"Switzerland","2020-03-03",14
"Switzerland","2020-03-04",34
"Switzerland","2020-03-05",24
"Switzerland","2020-03-06",100
"Switzerland","2020-03-07",54
"Switzerland","2020-03-08",69
"Switzerland","2020-03-09",37
"Switzerland","2020-03-10",117
"Switzerland","2020-03-11",161
"Switzerland","2020-03-12",0
"Switzerland","2020-03-13",487
"Switzerland","2020-03-14",220
"Switzerland","2020-03-15",841
"Switzerland","2020-03-16",0
"Switzerland","2020-03-17",500
"Switzerland","2020-03-18",328
"Switzerland","2020-03-19",1047
"Switzerland","2020-03-20",1219
"Switzerland","2020-03-21",1281
"Switzerland","2020-03-22",899
"Switzerland","2020-03-23",1321
"Switzerland","2020-03-24",1082
"Switzerland","2020-03-25",1020
"Switzerland","2020-03-26",914
"Switzerland","2020-03-27",1117
"Switzerland","2020-03-28",1148
"Switzerland","2020-03-29",753
"Switzerland","2020-03-30",1093
"Switzerland","2020-03-31",683
"Switzerland","2020-04-01",1163
"Switzerland","2020-04-02",1059
"Switzerland","2020-04-03",779
"Switzerland","2020-04-04",899
"Switzerland","2020-04-05",595
"Switzerland","2020-04-06",557
"Switzerland","2020-04-07",596
"Switzerland","2020-04-08",1027
"Switzerland","2020-04-09",771
"Switzerland","2020-04-10",500
"Switzerland","2020-04-11",556
"Switzerland","2020-04-12",308
"Switzerland","2020-04-13",273
"Switzerland","2020-04-14",248
"Switzerland","2020-04-15",400
"Switzerland","2020-04-16",396
"Switzerland","2020-04-17",346
"Switzerland","2020-04-18",326
"Switzerland","2020-04-19",336
"Switzerland","2020-04-20",204
"Switzerland","2020-04-21",119
"Switzerland","2020-04-22",205
"Switzerland","2020-04-23",228
"Switzerland","2020-04-24",181
"Switzerland","2020-04-25",217
"Switzerland","2020-04-26",167
"Switzerland","2020-04-27",103
"Switzerland","2020-04-28",100
"Switzerland","2020-04-29",143
"Switzerland","2020-04-30",179
"Switzerland","2020-05-01",119
"Switzerland","2020-05-02",112
"Switzerland","2020-05-03",88
"Switzerland","2020-05-04",76
"Switzerland","2020-05-05",28
"Switzerland","2020-05-06",51
"Switzerland","2020-05-07",66
"Switzerland","2020-05-08",81
"Switzerland","2020-05-09",44
"Switzerland","2020-05-10",54
"Switzerland","2020-05-11",39
"Switzerland","2020-05-12",36
"Switzerland","2020-05-13",33
"Switzerland","2020-05-14",50
"Switzerland","2020-05-15",51
"Switzerland","2020-05-16",58
"Switzerland","2020-05-17",15
"Switzerland","2020-05-18",10
"Switzerland","2020-05-19",21
"Switzerland","2020-05-20",40
"Switzerland","2020-05-21",36
"Switzerland","2020-05-22",13
"Switzerland","2020-05-23",18
"Switzerland","2020-05-24",11
"Switzerland","2020-05-25",10
"Switzerland","2020-05-26",15
"Switzerland","2020-05-27",15
"Switzerland","2020-05-28",20
"Switzerland","2020-05-29",32
"Switzerland","2020-05-30",17
"Switzerland","2020-05-31",17
"Switzerland","2020-06-01",9
"Switzerland","2020-06-02",3
"Switzerland","2020-06-03",19
"Switzerland","2020-06-04",20
"Switzerland","2020-06-05",23
"Switzerland","2020-06-06",20
"Switzerland","2020-06-07",9
"Switzerland","2020-06-08",7
"Switzerland","2020-06-09",16
"Switzerland","2020-06-10",23
"Switzerland","2020-06-11",33
"Switzerland","2020-06-12",19
"Switzerland","2020-06-13",31
"Switzerland","2020-06-14",23
"Switzerland","2020-06-15",14
"Switzerland","2020-06-16",23
"Switzerland","2020-06-17",33
"Switzerland","2020-06-18",13
"Switzerland","2020-06-19",35
"Switzerland","2020-06-20",8
"Switzerland","2020-06-21",49
"Switzerland","2020-06-22",18
"Switzerland","2020-06-23",22
"Switzerland","2020-06-24",44
"Switzerland","2020-06-25",52
"Switzerland","2020-06-26",58
"Switzerland","2020-06-27",69
"Switzerland","2020-06-28",62
"Switzerland","2020-06-29",35
"Switzerland","2020-06-30",62
"Switzerland","2020-07-01",137
"Switzerland","2020-07-02",116
"Switzerland","2020-07-03",134
"Switzerland","2020-07-04",97
"Switzerland","2020-07-05",70
"Switzerland","2020-07-06",47
"Switzerland","2020-07-07",54
"Switzerland","2020-07-08",129
"Switzerland","2020-07-09",88
"Switzerland","2020-07-10",104
"Switzerland","2020-07-11",127
"Switzerland","2020-07-12",66
"Switzerland","2020-07-13",63
"Switzerland","2020-07-14",70
"Switzerland","2020-07-15",132
"Switzerland","2020-07-16",142
"Switzerland","2020-07-17",92
"Switzerland","2020-07-18",110
"Switzerland","2020-07-19",99
"Switzerland","2020-07-20",43
"Switzerland","2020-07-21",108
"Switzerland","2020-07-22",141
"Switzerland","2020-07-23",117
"United Kingdom","2020-01-22",0
"United Kingdom","2020-01-23",0
"United Kingdom","2020-01-24",0
"United Kingdom","2020-01-25",0
"United Kingdom","2020-01-26",0
"United Kingdom","2020-01-27",0
"United Kingdom","2020-01-28",0
"United Kingdom","2020-01-29",0
"United Kingdom","2020-01-30",0
"United Kingdom","2020-01-31",2
"United Kingdom","2020-02-01",0
"United Kingdom","2020-02-02",0
"United Kingdom","2020-02-03",6
"United Kingdom","2020-02-04",0
"United Kingdom","2020-02-05",1
"United Kingdom","2020-02-06",0
"United Kingdom","2020-02-07",0
"United Kingdom","2020-02-08",4
"United Kingdom","2020-02-09",1
"United Kingdom","2020-02-10",0
"United Kingdom","2020-02-11",1
"United Kingdom","2020-02-12",1
"United Kingdom","2020-02-13",1
"United Kingdom","2020-02-14",1
"United Kingdom","2020-02-15",0
"United Kingdom","2020-02-16",0
"United Kingdom","2020-02-17",1
"United Kingdom","2020-02-18",0
"United Kingdom","2020-02-19",1
"United Kingdom","2020-02-20",2
"United Kingdom","2020-02-21",1
"United Kingdom","2020-02-22",0
"United Kingdom","2020-02-23",5
"United Kingdom","2020-02-24",2
"United Kingdom","2020-02-25",4
"United Kingdom","2020-02-26",3
"United Kingdom","2020-02-27",7
"United Kingdom","2020-02-28",12
"United Kingdom","2020-02-29",5
"United Kingdom","2020-03-01",33
"United Kingdom","2020-03-02",40
"United Kingdom","2020-03-03",55
"United Kingdom","2020-03-04",56
"United Kingdom","2020-03-05",49
"United Kingdom","2020-03-06",79
"United Kingdom","2020-03-07",55
"United Kingdom","2020-03-08",54
"United Kingdom","2020-03-09",147
"United Kingdom","2020-03-10",258
"United Kingdom","2020-03-11",411
"United Kingdom","2020-03-12",489
"United Kingdom","2020-03-13",479
"United Kingdom","2020-03-14",364
"United Kingdom","2020-03-15",442
"United Kingdom","2020-03-16",612
"United Kingdom","2020-03-17",768
"United Kingdom","2020-03-18",999
"United Kingdom","2020-03-19",1055
"United Kingdom","2020-03-20",1254
"United Kingdom","2020-03-21",1197
"United Kingdom","2020-03-22",1376
"United Kingdom","2020-03-23",2335
"United Kingdom","2020-03-24",2371
"United Kingdom","2020-03-25",2693
"United Kingdom","2020-03-26",3084
"United Kingdom","2020-03-27",3201
"United Kingdom","2020-03-28",2822
"United Kingdom","2020-03-29",2857
"United Kingdom","2020-03-30",4273
"United Kingdom","2020-03-31",4515
"United Kingdom","2020-04-01",4914
"United Kingdom","2020-04-02",4865
"United Kingdom","2020-04-03",4915
"United Kingdom","2020-04-04",4020
"United Kingdom","2020-04-05",3594
"United Kingdom","2020-04-06",5275
"United Kingdom","2020-04-07",5450
"United Kingdom","2020-04-08",5129
"United Kingdom","2020-04-09",4852
"United Kingdom","2020-04-10",4315
"United Kingdom","2020-04-11",3577
"United Kingdom","2020-04-12",3495
"United Kingdom","2020-04-13",4183
"United Kingdom","2020-04-14",4325
"United Kingdom","2020-04-15",5065
"United Kingdom","2020-04-16",5298
"United Kingdom","2020-04-17",4965
"United Kingdom","2020-04-18",4716
"United Kingdom","2020-04-19",3852
"United Kingdom","2020-04-20",4858
"United Kingdom","2020-04-21",4760
"United Kingdom","2020-04-22",5490
"United Kingdom","2020-04-23",5143
"United Kingdom","2020-04-24",4973
"United Kingdom","2020-04-25",3748
"United Kingdom","2020-04-26",3468
"United Kingdom","2020-04-27",4702
"United Kingdom","2020-04-28",4721
"United Kingdom","2020-04-29",5435
"United Kingdom","2020-04-30",4956
"United Kingdom","2020-05-01",4727
"United Kingdom","2020-05-02",3221
"United Kingdom","2020-05-03",2974
"United Kingdom","2020-05-04",3378
"United Kingdom","2020-05-05",3684
"United Kingdom","2020-05-06",3831
"United Kingdom","2020-05-07",3767
"United Kingdom","2020-05-08",3049
"United Kingdom","2020-05-09",2150
"United Kingdom","2020-05-10",2321
"United Kingdom","2020-05-11",3583
"United Kingdom","2020-05-12",3389
"United Kingdom","2020-05-13",3298
"United Kingdom","2020-05-14",2609
"United Kingdom","2020-05-15",2517
"United Kingdom","2020-05-16",2065
"United Kingdom","2020-05-17",1826
"United Kingdom","2020-05-18",2574
"United Kingdom","2020-05-19",3041
"United Kingdom","2020-05-20",2706
"United Kingdom","2020-05-21",2542
"United Kingdom","2020-05-22",2030
"United Kingdom","2020-05-23",1507
"United Kingdom","2020-05-24",1348
"United Kingdom","2020-05-25",1607
"United Kingdom","2020-05-26",1650
"United Kingdom","2020-05-27",1802
"United Kingdom","2020-05-28",1734
"United Kingdom","2020-05-29",1504
"United Kingdom","2020-05-30",1099
"United Kingdom","2020-05-31",1069
"United Kingdom","2020-06-01",1434
"United Kingdom","2020-06-02",1467
"United Kingdom","2020-06-03",1342
"United Kingdom","2020-06-04",1234
"United Kingdom","2020-06-05",1105
"United Kingdom","2020-06-06",791
"United Kingdom","2020-06-07",717
"United Kingdom","2020-06-08",1086
"United Kingdom","2020-06-09",1153
"United Kingdom","2020-06-10",1182
"United Kingdom","2020-06-11",1001
"United Kingdom","2020-06-12",1053
"United Kingdom","2020-06-13",887
"United Kingdom","2020-06-14",807
"United Kingdom","2020-06-15",1026
"United Kingdom","2020-06-16",1077
"United Kingdom","2020-06-17",997
"United Kingdom","2020-06-18",1020
"United Kingdom","2020-06-19",980
"United Kingdom","2020-06-20",666
"United Kingdom","2020-06-21",622
"United Kingdom","2020-06-22",892
"United Kingdom","2020-06-23",882
"United Kingdom","2020-06-24",774
"United Kingdom","2020-06-25",697
"United Kingdom","2020-06-26",638
"United Kingdom","2020-06-27",633
"United Kingdom","2020-06-28",395
"United Kingdom","2020-06-29",604
"United Kingdom","2020-06-30",403
"United Kingdom","2020-07-01",60
"United Kingdom","2020-07-02",4
"United Kingdom","2020-07-03",502
"United Kingdom","2020-07-04",624
"United Kingdom","2020-07-05",516
"United Kingdom","2020-07-06",352
"United Kingdom","2020-07-07",581
"United Kingdom","2020-07-08",630
"United Kingdom","2020-07-09",642
"United Kingdom","2020-07-10",512
"United Kingdom","2020-07-11",820
"United Kingdom","2020-07-12",650
"United Kingdom","2020-07-13",530
"United Kingdom","2020-07-14",1240
"United Kingdom","2020-07-15",538
"United Kingdom","2020-07-16",641
"United Kingdom","2020-07-17",687
